journal_abbrev,oldest_PMID,newest_PMID,random_PMID,FindIt_coverage
An Med Ateneo Ramon Cajal Mex,21023904,21023904,20982179,False
Actual Med Peru,21026487,21026487,21026486,False
An Catedra Patol Clin Tuberc,20984426,20984426,20984417,False
An Inst Bio,21016933,21016933,21016930,False
An Acad Cienc Medicas Fisicas Nat Habana,20987271,20987271,20987270,False
Num Cient Accion Sind,21016060,21016060,21016056,False
Actas Ciba (Rio J),20985753,20985753,21015984,False
Anadolu Klinigi,21011075,21011075,21011075,False
An Cir (B Aires),21028507,21028507,21028491,False
An Univ Nac Asuncion,21021240,21021240,21021239,False
An Lima,21028339,21028339,21028338,False
An Nuevo Leon Mex,21026690,21026690,21026687,False
An Soc Med Quir Guayas,20992708,20992708,20992708,False
Air Surg Bull,20987000,20987000,21004508,False
Bengal Public Health J,21027300,21027300,21027297,False
Bahia Med,21066045,21066045,21014547,False
Arch Soc Biol Montev,21026162,21026162,21026161,False
Soap Sanit Chem Blue Book Cat Ed,20994858,20994858,20994858,False
Ann Inst Hydrol Climatol,20990695,20990695,20990695,False
Arch Neurol Psiquiatr Mex,20982780,20982780,20984266,False
Ask Vet Mecm,21028674,21028674,21028671,False
Analecta Med,21014529,21014529,21014523,False
Arq Polic Civ Sao Paul,21017063,21017063,21017060,False
Better Health (Lond),20990546,20990546,20990546,False
Biol Med (Niteroi Braz),20983562,20983562,20983561,False
Savasta Erbaslar,21027800,21027800,21027789,False
Bull Am Cancer Soc,21004544,21004544,21004543,False
Bol Vet,21022127,21022127,21022127,False
Bol Col Med La Habana (La Habana),21018891,21018891,21018891,False
Med Abstr,20997144,20997144,20997136,False
Bol Serv Nac Prot Matern Infant Peru,20983494,20983494,20983493,False
Bol Hosp Sanat Peral Santiago Chile,20984763,20984763,20984761,False
Bol Dep Med Seguro Social Ecuat,20991164,20991164,20991161,False
Bull Soc Sci Hyg Aliment Aliment Ration Homme,21023737,21023737,21023737,False
Cienc Cienc (Mex City Mex),20991710,20991710,20991707,False
Bol Soc Biol Concepc,21011753,21011753,21011752,False
Dokl Akad Nauk Soiuza Sov Sotsialisticheskikh Resp,21026767,21026767,21026741,False
Bol Soc Mutual Med Farm Guadalaj,21016143,21016143,21016142,False
Clin Risk,25999777,25999777,25866466,False
Ultrasound,38694832,38694832,38694831,False
Breast Care (Basel),38894957,38894957,37261129,False
Obstet Med,38784194,38784194,37441666,False
Curr Urol,38505164,38505164,37692133,False
Hand Ther,38827654,38827654,37904834,False
Bol Acad Nac Cienc,21024254,21024254,21024253,False
Bull Univ Hosp,21009870,21009870,21009867,False
Bol Med Cient,20987293,20987293,20987292,False
Bol Biol,21003599,21003599,21003598,False
Bol Hosp,20246334,20246334,21026517,False
Bol Med Soc,20984370,20984370,20986728,False
Bull Allergy,21000099,21000099,21000099,False
Certif Milk,21065208,21065208,21065208,False
Character Pers,21004474,21004474,21004471,False
Chron Bot,21018223,21018223,21018222,False
Bol Ciudad Trujillo,20988578,20988578,20988572,False
Bol Colegio Bras Cir,21021924,21021924,21021920,False
Bull Med Soc Cty Erie Buffalo Acad Med,20998244,20998244,21003629,False
Bol Mex City Univ Nac,20993729,20993729,20993726,False
Bull Mo Soc Crippl Child,20986621,20986621,20986621,False
Bull Mens Off Int Hyg Publique,21024544,21024544,21018350,False
Bol Soc Cuba Pediatr,21015262,21015262,21015251,False
Bol Soc Bras Med Vet,21028694,21028694,21028692,False
Bol Soc Paul Med Vet,20988095,20988095,20988094,False
Monogr Boll,21000043,21000043,21028571,False
Bull Soc Med History Chic,20998784,20998784,20998782,False
Bull Tarrant Cty Med Soc,21064827,21064827,21064827,False
Bull War Med,20991696,20991696,20991696,False
Fachbl Schweiz Anst,21017996,21017996,21024338,False
Clin Bull Univ Hosp Clevel (Ohio),21025457,21025457,21006135,False
Clin Bull Sch Med West Reserve Univ Assoc Hosp,20985906,20985906,20985904,False
Gac Med Centroam,21003683,21003683,21003682,False
Gac Med Quir Boliv,21009913,21009913,21009911,False
Phys Plasmas,30344429,30344429,29104420,False
Cir Ortop Traumatol,21024617,21024617,21024615,False
Clin Hig Hidrol,20993849,20993849,20984803,False
Cult Med (Rio J),20991305,20991305,20983651,False
Cron Med,21022480,21022480,21022458,False
Dent Health,20995988,20995988,21026268,False
Everybodys Health,20999430,20999430,20999430,False
Farmaceutico,20243574,20243574,21023240,False
Farm Quim,21028344,21028344,20987819,False
Farmatsiia (Mosk),21028370,21028370,21028363,False
R Melb Hosp Clin Rep,20987389,20987389,20987379,False
Bibliogr Mex Estad,21005136,21005136,21005135,False
Rev Asoc Columb Med Vet,21005508,21005508,21005508,False
Notes Czechoslov Med Assoc G B,21024099,21024099,21024092,False
Int J Sex Econ Orgone Res,21014183,21014183,21014178,False
J Clin,21021476,21021476,21021475,False
Juv Med,21019209,21019209,20984917,False
Med Surg Suggest,21016432,21016432,21006223,False
Rev Cuba Med Sov,20985061,20985061,20985057,False
Zhonghua Yi Xue Za Zhi (1932),21028013,21028013,21028008,False
Rev Odontol (Trujillo),20992499,20992499,20992497,False
Rev Med Latinoam,21012118,21012118,21012115,False
Rep N Y State Vet Coll Cornell Univ,21022137,21022137,21022130,False
N M Health Off,21021871,21021871,21021871,False
Rev Belge Sci Med,20993943,20993943,20993942,False
Rass Ital Ottalmol,20993447,20993447,20993446,False
Pa Health,20999442,20999442,20999442,False
Monterrey Med,20988836,20988836,20988834,False
Rev Med Leg Colomb,24545815,24545815,21011836,False
Mon Bull Minist Health Emerg Public Health Lab Serv,21003104,21003104,21003101,False
Rev Soc Med Quir Zulia,20986336,20986336,20986336,False
Homeopath Her,20985771,20985771,21027696,False
Ind Eng Chem,21008317,21008317,21008311,False
News Lett AAF Rheum Fever Control Program,21017140,21017140,21017138,False
J Mil Med Pac,20986421,20986421,21016716,False
Johns Hopkins Alumni Mag,20993331,20993331,20993331,False
Rev Soc Med Trujillo,20987620,20987620,20987618,False
Rev Col Med Estado Falcon,20984055,20984055,20984054,False
Prog Med Rev Asoc Med Latinoam,21019516,21019516,20986276,False
Rev Policlin Caracas,20991631,20991631,20991630,False
J Counc Sci Ind Res,20989141,20989141,21026777,False
Higiene Y Seguridad (Mexico 1936),21026431,21026431,21026430,False
Hema,20982126,20982126,20982123,False
Xin Zhong Hua Yi Yao Yue Kan,20991575,20991575,20991573,False
J Physiol Pathol Gen,21024515,21024515,21024510,False
J Cardiorespir Dis,20983086,20983086,20983086,False
J Parenter Ther,21024711,21024711,20992258,False
Lab Clin,20983760,20983760,21010102,False
Life Health,20999439,20999439,20999437,False
Lisb Med,20998341,20998341,21021493,False
J La State Univ Agric Mech Coll,21016349,21016349,21016349,False
Mec Dent,20987113,20987113,20987112,False
Med Bull,21025795,21025795,21007384,False
Middx Vet,21024780,21024780,21009465,False
Monatsschr Geburtshilfe Gynakol,21017100,21017100,21012776,False
Monde Med (Ed Esp),21022750,21022750,21022749,False
Odontol (Habana),20985677,20985677,20985677,False
J Ohio State Dent Soc,20996008,20996008,20996008,False
Phlebitis Bull,20985589,20985589,20985589,False
Prev Soc,20996917,20996917,20996917,False
Protesis (B Aires),21020962,21020962,21020957,False
Public Health Bulletin (Wash D C),21010802,21010802,21010802,False
Publ Med,20993934,20993934,21012105,False
Rev Red Cross,21023052,21023052,21023051,False
Resen Med,20986285,20986285,20986284,False
Rev Aliment,20989654,20989654,20989650,False
Rev Argent Broncoesofagol,20994125,20994125,20994125,False
Rev Argent Dermatosifilol,20987193,20987193,20987187,False
Rev Argent Neurol Psiquiatr Neurocir,20999152,20999152,20987773,False
Rev Bras Farm,21004448,21004448,21004446,False
Rev Chil Urol,20986952,20986952,20986952,False
Rev Cuba Tuberc,21028622,21028622,21018633,False
Rev Med Vet (Bogota),21013368,21013368,21013365,False
Rev Med Trop Parasitol Bacteriol Clin Lab,21003288,21003288,21066088,False
Rev Esp Cir (Madr 1944),20992227,20992227,20992224,False
Rev Esp Med Cir Guerra,21016721,21016721,21016719,False
Rev Med Pernamb,21017649,21017649,21016621,False
Rev Farm Peru,21023277,21023277,21023277,False
Rev Med Hosp Britanico,21016617,21016617,21016617,False
Rev Med Parag,21024207,21024207,21024207,False
Rev Med Munic,20272889,20272889,21024204,False
Rev Med Quir Patol Fem,21023863,21023863,21014423,False
Rev Paul Tisiol Torax,20995866,20995866,21023396,False
Rev Zootec (B. Aires),21009491,21009491,21009490,False
S E M,20987625,20987625,20987624,False
St Georg Hosp Gaz,20982595,20982595,20982595,False
J Second Dist Dent Soc State N. Y.,21002282,21002282,21020936,False
Proc Prof Staff,20990231,20990231,20990230,False
Med Bull U S Army Mediterr Theater Oper,21004209,21004209,21004205,False
N H Health News,20999441,20999441,20999440,False
Q Bull,20992148,20992148,20992148,False
Annu Rep British Guiana,20998215,20998215,20998213,False
Memorias Congreso Med Penins,21021546,21021546,21021540,False
Proc Conf Army Physicians Cent Mediterr Forces,21017833,21017833,21017808,False
Proc Congress C M F Army Surg,21066058,21066058,21066058,False
Proc Annu Meet,20995100,20995100,20995099,False
Proc Neuropsychiatr Conf Sixth Serv Command,20991698,20991698,20991697,False
Hosp Gauzette,20994525,20994525,20994525,False
Pilot Evanst Hosp,21002797,21002797,21002797,False
War Med (Chic 1941),21007602,21007602,21007602,False
Trans Bull Ind Hyg Found Am,20984710,20984710,20984705,False
Resum Trab Med Venez,21017739,21017739,21017733,False
War Dep Tech Bull TB Med,21004937,21004937,21004937,False
Stud Inst Divi Thomae,20985087,20985087,20985080,False
Schweiz Z Zahnheilkd,20984637,20984637,21001251,False
Scope (Kalamazoo),20986358,20986358,21016661,False
Sem Med Esp,21019689,21019689,21016681,False
Soc Action (New York N Y),20996918,20996918,20996918,False
Ther Probl Today,20998580,20998580,20998577,False
Terapia (Quito),20992270,20992270,20992269,False
Univ Tor Stud Biol Ser,20997985,20997985,20997984,False
Water Works Sewerage,21010810,21010810,21006733,False
Women Med,21019767,21019767,21019767,False
Annu Rep Surg Gen U S Navy Chief Bur Med Surg Secr Navy Relat Stat Dis Inj U S Navy,20995478,20995478,20995478,False
Eur J Agron,38304224,38304224,27594779,False
Conn Sci,20953274,20953274,20953274,False
Proc South Biomed Eng Conf,28959119,28959119,28959119,False
Assist technol Res Ser,21037936,21037936,21037936,False
Pneumon,21278811,21278811,21278811,False
Psychol Sci Public Interest,38832574,38832574,27697852,False
Imaging Decis (Berl),21151734,21151734,21151734,False
IEEE Trans Control Syst Technol,38525198,38525198,21643450,False
J GLBT Fam Stud,34840535,34840535,23667347,False
J Health Inform Dev Ctries,28936111,28936111,21822397,False
Imaging Med,25221623,25221623,22768021,False
GI Ed Proc,25285064,25285064,25285064,False
J Nanotechnol Eng Med,27222695,27222695,27222695,False
Clin Med Geriatr,22003300,22003300,22003300,False
Int J Ion Mobil Spectrom,31086501,31086501,23914139,False
Geoinformatica,36992962,36992962,32837253,False
Visualization (Los Alamitos Calif),26279613,26279613,26279612,False
Heat Mass Transf,37361609,37361609,37361609,False
Conf Lasers Electro Optics,37476693,37476693,38261806,False
Vol Graph,26278929,26278929,26278929,False
Int J Early Years Educ,20890405,20890405,20890405,False
J Biotech Res,21822461,21822461,21822461,False
Int J Mod Phys C,25473139,25473139,25473139,False
Riv Linguist,21037930,21037930,21037930,False
J Dairy Foods Home Sci,21243123,21243123,21243123,False
J Heat Transfer,35833154,35833154,31814649,False
J Nanotechnol,23024655,23024655,23024655,False
J Sport Behav,21643553,21643553,21643553,False
J Signal Transduct,27034829,27034829,22523683,False
J Tribol,34168396,34168396,25053867,False
J Youth Stud,38706784,38706784,24955020,False
Online J Public Health Inform,38861316,38861316,38772021,False
Newsp Res J,38603440,38603440,38602926,False
AMIA Jt Summits Transl Sci Proc,38827115,38827115,37350913,False
Updates Surg,N/A,N/A,N/A,True
Qual Ageing,21394234,21394234,21394234,False
Open Biol J,22754595,22754595,22754595,False
Vict Offender,38544914,38544914,30867658,False
World J Cardiol,38817651,38817651,37576543,False
Open Conf Proc J,21297883,21297883,21643557,False
J Chim Phys Physicochim Biol,20992440,20992440,20981952,False
Ment Health Relig Cult,38037562,38037562,24348087,False
ACM Trans Math Softw,31474782,31474782,28983138,False
Adv Life Course Res,38889542,38889542,36652321,False
Curr Org Synth,38804327,38804327,38037906,False
Best Pract Ment Health,31933546,31933546,26190952,False
Internet J Nephrol,21152373,21152373,21152373,False
Creat Res J,38145249,38145249,21057603,False
EURASIP J Image Video Process,38873644,38873644,30613203,False
Asian Am J Psychol,38264160,38264160,32395199,False
Adv Powder Technol,34262241,34262241,20948990,False
Cell Commun Insights,26702252,26702252,24839392,False
Bioforum Eur,21278810,21278810,21278810,False
Clin Med Rev Ther,22389581,22389581,21785568,False
Front Mater Sci China,20865144,20865144,20865144,False
Infect Dis Rep,38804445,38804445,37736995,False
IEEE Symp Comput Intell Data Min,20953276,20953276,20953276,False
Drug Discov Today Technol,34916026,34916026,33386093,False
E J Appl Psychol,20953264,20953264,20953264,False
Evid Based Commun Assess Interv,27499802,27499802,23762200,False
Health Outcomes Res Med,32288908,32288908,22975592,False
Glob J Community Psychol Pract,27042702,27042702,24222923,False
J Early Interv,37655268,37655268,34326625,False
Oper Tech Orthop,36164488,36164488,29430164,False
Infect Dis Clin Pract (Baltim Md),38213314,38213314,34803343,False
J Rheol (N Y N Y),35250122,35250122,36451916,False
J Lang Soc Psychol,38603335,38603335,38603009,False
J Am Water Resour Assoc,38377341,38377341,22457572,False
Strength Cond J,35874931,35874931,26823657,False
IEEE Antennas Wirel Propag Lett,37020750,37020750,21866218,False
IEEE Trans Autom Sci Eng,38595999,38595999,33746640,False
Sports Health,38910451,38910451,38544397,False
Hum Genomics Proteomics,22442648,22442648,20981323,False
Int J Health Sci (Qassim),38721142,38721142,36475032,False
World J Hepatol,38818301,38818301,38223420,False
World J Gastrointest Oncol,38764850,38764850,38764815,False
World J Gastrointest Surg,38817303,38817303,38690039,False
World J Gastrointest Endosc,38813578,38813578,38073763,False
Pharmaceutics,38794352,38794352,38794292,False
Int J Bioelectromagn,37927612,37927612,21152370,False
Conf Proc IEEE Int Conf Syst Man Cybern,38524640,38524640,33707935,False
Int J Comput Math,30487705,30487705,21532988,False
Stem Cells Int,38882598,38882598,38152720,False
J Hispanic High Educ,38603429,38603429,38603429,False
Microbiol Res (Pavia),37752971,37752971,37752971,False
Nova Econ,20927199,20927199,20927199,False
Open Access J Clin Trials,34471390,34471390,23935390,False
Quant Econom,36718257,36718257,22059095,False
Rev Argent Cienc Comport,22267966,22267966,22267966,False
Monitor (Assoc Clin Pharmacol),25648469,25648469,23526867,False
Open Addict J,23264842,23264842,21132088,False
Transportation (Amst),37363375,37363375,34873350,False
Open Hypertens J,21132096,21132096,21132096,False
J Cardiovasc Dis Res,24653594,24653594,24023463,False
J Craniovertebr Junction Spine,38644925,38644925,37448500,False
Proc Symp Haptic Interface Virtual Env Teleoperator Syst,22582034,22582034,22582034,False
Gastroenterol Rep,24040625,24040625,24040625,False
World J Radiol,38845608,38845608,37424736,False
J Osteoporos,38659619,38659619,37588008,False
J Dent Biomech,25798201,25798201,23554848,False
Int J Hypertens,38737523,38737523,38344148,False
Diabetes Ther,38916803,38916803,38634974,False
Crit Care Res Pract,38868174,38868174,35273812,False
Parkinsons Dis,38846136,38846136,36923711,False
HDA Now,24712251,24712251,24712249,False
Rev Mod Phys,37051403,37051403,29503479,False
Prog Bot,21152366,21152366,21152366,False
J Fam Ther,36246782,36246782,35602926,False
Clin Res Regul Aff,28479846,28479846,25983531,False
Biotropica,38855501,38855501,29398713,False
Macromol Symp,36246484,36246484,34511843,False
Curr Med Lit Cardiol,21152111,21152111,21152111,False
Appl Phys A Mater Sci Process,37529696,37529696,36683913,False
Cogn Technol Work,37359479,37359479,21479125,False
Am J Nurse Pract,23853524,23853524,23853524,False
Health Sociol Rev,38875352,38875352,34338143,False
J Fam Theory Rev,38558571,38558571,34306182,False
Soc Psychol Personal Sci,38883257,38883257,21874152,False
Anemia,38716363,38716363,26697217,False
J Acad Ethics,37362772,37362772,37362771,False
Appl Soft Comput,37346824,37346824,36157968,False
Chil J Stat,21822354,21822354,21822354,False
Clin Med Rev Oncol,24771995,24771995,24771995,False
Discrete Math,32218610,32218610,23482936,False
Eur Infect Dis,21243116,21243116,21243116,False
Eur Neurol Rev,27708720,27708720,27330568,False
IEEE Nanotechnol Mag,38855043,38855043,20953308,False
IEEE Photonics J,34900090,34900090,33747354,False
Int J Diabetes Mellit,21127720,21127720,21127720,False
Proc IEEE Southwest Symp Image Anal Interpret,33117087,33117087,33117087,False
J Behav Anal Health Sports Fit Med,21533009,21533009,21533009,False
J Scand Stud Criminol Crime Prev,20885797,20885797,20885797,False
J West Afr Lang,21037929,21037929,21037929,False
J Behav Neurosci Res,24634898,24634898,24634898,False
Mater Eval,21709738,21709738,21709738,False
Nat Sci Sleep,38915877,38915877,37954026,False
Optim Control Appl Methods,38765179,38765179,21516241,False
Procedia Vaccinol,26900411,26900411,32288910,False
Procedia Comput Sci,37502200,37502200,37205132,False
Proc Inst Acoust,20953303,20953303,20953303,False
Robot Comput Integr Manuf,37056680,37056680,21152112,False
Open Drug Discov J,22053169,22053169,22308176,False
Soc Work Forum (N Y N Y),23888125,23888125,23888125,False
Am J Gastroenterol Suppl,25207610,25207610,25207610,False
Qual Ageing Older Adults,34659740,34659740,29354259,False
IEEE Pulse,38619929,38619929,38619929,False
Anal Cell Pathol (Amst),38826849,38826849,36204303,False
Rev Bras Educ Med,33935306,33935306,33935306,False
J Cytol,38779610,38779610,36277806,False
Arq Med,20981277,20981277,20981277,False
Adv Organ Biol,21234280,21234280,21234280,False
J Diabetes Nurs,24817822,24817822,24817822,False
J Appl Polym Sci,38439767,38439767,37035465,False
Meas Phys Educ Exerc Sci,37377882,37377882,36060895,False
Clin J Womens Health,21461131,21461131,21461131,False
J Pediatr Pharmacol Ther,38863864,38863864,38863858,False
Microsc Anal (Am Ed),22506097,22506097,22506097,False
Toxicol Int,26862284,26862284,26862256,False
Drug Discov Today Biosilico,20976032,20976032,20976032,False
J Int Assoc Med Sci Educ,21243105,21243105,21243105,False
Haematol Rep,20890454,20890454,20890454,False
J Pediatr Neurosci,36388012,36388012,36160615,False
J Food Sci Educ,32837345,32837345,32508543,False
Heart Views,38774555,38774555,38774543,False
Glob Health Gov,30956750,30956750,27274776,False
Anal Methods,38913433,38913433,38804266,False
J Adv Prosthodont,38694195,38694195,36105879,False
Protein Cell,N/A,N/A,N/A,True
Psychol Inj Law,36348958,36348958,21297893,False
J Young Pharm,24563602,24563602,22754259,False
Acta Mech Sin,36776492,36776492,35601132,False
Adv Eng Mater,37982016,37982016,36817722,False
Adv Pharmacol Sci,31737067,31737067,29750083,False
Ann Math Artif Intell,37234484,37234484,36193340,False
Annu Rev Econom,36741238,36741238,21037939,False
Anu Investig Adicciones,29743882,29743882,29743882,False
Appl Clin Inform,38897231,38897231,38897231,False
Clin Med Insights Circ Respir Pulm Med,37313301,37313301,27773996,False
Cybern Syst,38500540,38500540,38500540,False
Constraints,37545838,37545838,35965949,False
Episteme (Edinb),24683416,24683416,21113394,False
IEEE Embed Syst Lett,37334225,37334225,35582518,False
Proc IEEE Int Conf Pervasive Comput Commun,36447642,36447642,25266777,False
Int J Comput Intell Appl,20953299,20953299,20953299,False
Int J Inflam,38250663,38250663,38250663,False
Int J Proteomics,28044106,28044106,25143833,False
J Ambient Intell Humaniz Comput,37360781,37360781,35018197,False
J Clean Prod,38268972,38268972,36570877,False
J Comput Appl Math,38464901,38464901,36471673,False
J Teach Educ,36203488,36203488,34898721,False
Math Geosci,38846625,38846625,30931019,False
Proc SIAM Int Conf Data Min,35509686,35509686,21544257,False
Prev Couns Psychol,21179396,21179396,21179396,False
Prov China,21191453,21191453,21191453,False
Sens Instrum Food Qual Saf,20953301,20953301,20953301,False
J Res Adm,37440894,37440894,22500145,False
Open Autoimmun J,22242109,22242109,22242109,False
Open Surg Oncol J,22924087,22924087,22924087,False
Oxf Stud Anc Philos,21076682,21076682,21076682,False
Forced Migr Rev,21151825,21151825,21151825,False
J Popul Ageing,37363110,37363110,36345350,False
NDT E Int,21541005,21541005,21541005,False
J Ginseng Res,38707648,38707648,38223829,False
Studium (Rotterdam),22586839,22586839,22586757,False
Child Obes,38722268,38722268,37852004,False
Hirosaki Igaku,24795496,24795496,24795496,False
Adv Occup Ther Pract,21037931,21037931,21037931,False
Commun Disord Q,38223206,38223206,35069019,False
Act Dir Q Alzheimers Other Dement Patients,24696637,24696637,24696637,False
Cogn Sci (Hauppauge),26664667,26664667,26664667,False
Biomol Concepts,38872399,38872399,31707358,False
Artif DNA PNA XNA,26865404,26865404,23507698,False
Health (Irvine Calif),34168738,34168738,24224072,False
Chimerism,27996370,27996370,26855335,False
Acta Mech,37457595,37457595,33896941,False
Adv Phys Ther Rehab Med,21858250,21858250,21858250,False
Agro Food Ind Hi Tech,24436723,24436723,24436723,False
Aging Dis,38916737,38916737,38377025,False
Ann Gastroentol Hepatol,21552467,21552467,21552467,False
Asian J Exp Biol Sci,20953292,20953292,20953292,False
Asian J Tradit Med,23653676,23653676,23653676,False
Biomed Opt Express,38867802,38867802,38867782,False
Cell Ther Transplant,21243120,21243120,21243120,False
Cholesterol,30210871,30210871,22811893,False
Commun Math Sci,29104514,29104514,29104514,False
Early Child Serv (San Diego),21442020,21442020,21442020,False
Curr Trends Neurol,35813119,35813119,25580062,False
Front Biol (Beijing),30774650,30774650,25554728,False
Group Facil,22557936,22557936,22557936,False
Heart Int,38455673,38455673,36277324,False
IEEE Trans Auton Ment Dev,26858825,26858825,21031153,False
Dev Cogn Neurosci,38909566,38909566,38692007,False
An Soc Mex Oftalmol Otorinolaringol,21024369,21024369,21024369,False
Tijeretazos Malar,20987254,20987254,20987254,False
Health Soc Welf,20985406,20985406,20985389,False
Publicacoes Med,20990152,20990152,21028057,False
Imagin Cogn Pers,38031581,38031581,21031150,False
Rev Med Microbiol,30662163,30662163,30662163,False
Pezcoller Found J,21132084,21132084,21132084,False
Zero Three,37207257,37207257,29576678,False
Nordisk Alkohol Nark,38903896,38903896,38645970,False
Sci Med (Porto Alegre),22577474,22577474,22577474,False
Int J Ment Health Addict,38414721,38414721,35937612,False
J Libr Metadata,26877832,26877832,26877832,False
Mediterr J Hematol Infect Dis,38882462,38882462,38882458,False
World J Stem Cells,38817336,38817336,37900937,False
Wiley Interdiscip Rev RNA,N/A,N/A,N/A,True
Ther Deliv,38888757,38888757,36601978,False
J Coll Stud Ret,33867862,33867862,21532997,False
J Ehealth Technol Appl,26413176,26413176,26413176,False
J Comput Sci,38774487,38774487,21415939,False
J Geom Mech,21113416,21113416,21113416,False
Mind Brain,22102966,22102966,21822473,False
Open Access Bioinformatics,25530700,25530700,21103387,False
J Nephrol Ren Transplant,22514590,22514590,22514590,False
J Non Cryst Solids,38314066,38314066,38314066,False
J Optim Theory Appl,38736457,38736457,35043023,False
Peer Rev,25558184,25558184,25558184,False
Res Lett Signal Process,21152265,21152265,21152265,False
Sociol Forum (Randolph N J),38313318,38313318,21743774,False
Chem Educ,21197138,21197138,21197138,False
Hedgehog Rev,21103022,21103022,21103022,False
J Coagul Disord,26617979,26617979,21165149,False
Sight Life Mag,22540112,22540112,22540112,False
Open Pacing Electrophysiol Ther J,22919435,22919435,21614148,False
IEEE Trans Circuits Syst II Express Briefs,38045871,38045871,24633369,False
IETE J Res,21057672,21057672,21057672,False
J Algebr Stat,21037950,21037950,21037950,False
Int J Transp Phenom,34194194,34194194,22514360,False
J Aggress Confl Peace Res,29299070,29299070,29299070,False
Int J Polym Sci,25717339,25717339,25717339,False
J Clin Metab Diabetes,21533018,21533018,21533018,False
In Vivo (Brooklyn),26594670,26594670,21977482,False
Biol Aujourdhui,38018953,38018953,31274103,False
Acta Stereol,25237211,25237211,25237211,False
Interfaces (Providence),34421152,34421152,21760650,False
Catal Letters,37799191,37799191,36320430,False
Biomol Ther (Seoul),38914480,38914480,38684582,False
Annu Rev Appl Linguist,30034069,30034069,30034069,False
J Cell Death,30983862,30983862,26380557,False
Geom Model Process,21625294,21625294,21625294,False
Hydrol Process,37502606,37502606,33627939,False
Landsc Ecol,38911969,38911969,38161781,False
Proc Int Conf Availab Reliab Secur,21461049,21461049,21461049,False
Proc Int Conf Qual Softw,21243103,21243103,21243103,False
Int Conf Signal Process Commun,21743845,21743845,21743845,False
Controll Release Newsl,21853161,21853161,21853161,False
Clin Med Pathol,21151545,21151545,21876647,False
Acta Naturae,38738632,38738632,35127151,False
Patholog Res Int,30519390,30519390,28280647,False
Interdiscip Toxicol,32461723,32461723,31762683,False
Indian J Surg Oncol,38818012,38818012,38741640,False
AoB Plants,38883565,38883565,38716380,False
J Pain Res,38915479,38915479,38505503,False
Clin Med Insights Pathol,30574002,30574002,26740749,False
Clin Med Insights Arthritis Musculoskelet Disord,38292917,38292917,33192108,False
Zhongguo Yi Miao He Mian Yi,20726276,20726276,20575261,False
Johns Hopkins APL Tech Dig,21151804,21151804,21151804,False
Z Gesundh Wiss,37621988,37621988,37361275,False
Traumatology (Tallahass Fla),38818344,38818344,33500683,False
J Posit Behav Interv,28082829,28082829,21113315,False
J Incl Phenom Macrocycl Chem,34785985,34785985,22866022,False
J Sci Comput,38708025,38708025,36437820,False
Int J Soc Res Methodol,38628274,38628274,38628274,False
Int J Hum Genet,27512315,27512315,27512315,False
Self Care Depend Care Nurs,22872189,22872189,22872189,False
J Sports Sci Med,38841648,38841648,38455436,False
Kidney Cancer J,38433743,38433743,35310961,False
Recent Pat Biomed Eng,23795343,23795343,21709726,False
Personal Ment Health,38886928,38886928,34322997,False
Curr Orthop Pract,38404621,38404621,26120376,False
Prov Med Surg J (1840),21379565,21379565,21379479,False
Prov Med J Retrosp Med Sci,21379916,21379916,21380326,False
Glob J Health Sci,38235348,38235348,37163144,False
Female Pelvic Med Reconstr Surg,35982987,35982987,34978544,False
Stat Commun Infect Dis,38250627,38250627,38250627,False
Test (Madr),38868722,38868722,25392679,False
Open Bioinforma J,33927788,33927788,21132056,False
Theory Res Soc Educ,27065504,27065504,27065504,False
Tipica,21132052,21132052,21132052,False
Conf Proc Ethnogr Prax Ind Conf,29456462,29456462,21709742,False
Int J Numer Method Biomed Eng,38888136,38888136,37991116,False
Am J Crim Justice,37970533,37970533,32837170,False
Comput Geom,33927482,33927482,21165161,False
Discrete Comput Geom,38832048,38832048,38192900,False
Early Years (Stoke-on-Trent),21132066,21132066,21132066,False
Eur J Mech B Fluids,38770034,38770034,29736127,False
Electron Commun Jpn,21572940,21572940,21572940,False
Innovation (North Syd),23950694,23950694,23950694,False
Int J Adv Manuf Technol,38817304,38817304,34465936,False
Int J High Throughput Screen,23505333,23505333,21278926,False
J Police Crisis Negot,21113331,21113331,21113331,False
J Sci Teacher Educ,24347999,24347999,24347999,False
Proc IEEE WIC ACM Int Conf Web Intell Intell Agent Technol,29962511,29962511,21243102,False
Methodol Comput Appl Probab,38186926,38186926,33100892,False
J Geriatr Oncol,38902148,38902148,38824058,False
Econ Anal Policy,38620119,38620119,32843816,False
IEEE/ACM Int Conf Autom Softw Eng Workshops,25285237,25285237,25285237,False
Sign Transduct Insights,26989346,26989346,21687820,False
Stem Cells Cloning,38895739,38895739,24426784,False
Polym J,37359988,37359988,37359987,False
Open Dermatol J,32528559,32528559,32528559,False
Indep Pract (Lutterworth),21253443,21253443,21253443,False
Proc Air Waste Manage Assoc Meet,25356067,25356067,21209848,False
Psychol Neurosci,38298524,38298524,28959381,False
Proc Int Workshop Autom Softw Test,21197140,21197140,21197140,False
Comput Animat,24839614,24839614,24839614,False
Educ Res (Windsor),21258625,21258625,21258625,False
Ann Rev Mar Sci,38896540,38896540,37647611,False
Clin Teach,38847440,38847440,37904630,False
Curr Top Behav Neurosci,38914878,38914878,37697074,False
